161.15,157.17,145.1,127.71,105.48,89.019,80.297,79.439,85.354,98.511,117.87,139.95,160.72,177.4,189.12,1.2,10.6,164,71.6,203.7
351.99,351.94,351.85,351.45,350.12,346.56,335.69,311.88,273.3,231.52,206.73,200.09,201.33,204.19,206.71,10,5,352,110,210
32,32.001,32.004,32.02,32.075,32.286,33.069,35.549,42.011,54.488,71.833,89.702,103.79,112.41,116.74,20,10,32,310,120
163.96,163.82,163.42,162.44,159.12,150.6,135.27,119.1,116.07,139.37,191.14,266.86,364.85,483.05,616.96,5,12,164,71,1100
64.002,64.01,64.041,64.149,64.591,66.229,71.626,86.492,117.32,169.79,247.44,356.11,502.46,684.74,876.78,13,20,64,440,1200
11,11.001,11.004,11.014,11.053,11.184,11.584,12.782,15.673,20.973,28.543,37.593,46.902,55.204,61.535,15,5,11,353,70
121.75,121.34,119.64,115.61,106.92,90.057,67.623,52.391,50.958,64.88,91.7,131.16,189.74,276.12,396.95,3,8,122,26,900
30.002,30.006,30.021,30.084,30.321,31.154,33.874,41.161,56.726,83.726,125.06,186.46,276.46,406.63,575.03,12,15,30,284,1005
68,68.002,68.007,68.025,68.101,68.4,69.568,73.573,84.828,109.04,146.94,192.44,238.73,279.19,308.53,24,10,68,627,340
17.001,17.003,17.011,17.041,17.162,17.611,19.094,23.201,31.827,46.918,70.341,105.58,158.36,233.51,323.69,13,20,17,125,500
169.29,176.88,201.16,240.21,302.54,371.85,443.93,499.65,514.37,474.58,390.17,301.46,244.62,220.73,212.17,1.2,10.6,164,710.6,203.7
352.01,352.05,352.12,352.43,353.48,356.25,364.36,380.52,400.6,404.28,369.94,308.51,255.62,228.73,218.96,10,5,352,1100,210
32,32.002,32.006,32.027,32.098,32.375,33.408,36.724,45.615,63.88,92.523,128.53,164.99,190.17,192.62,20,10,32,3100,120
1639,1635.9,1626.6,1603.9,1527.2,1329,963.39,524.32,190.47,52.145,40.813,123.72,278.48,457.75,632.13,5,12,1640,71,1100
640,639.98,639.93,639.74,638.96,636.16,627.62,608.42,587.08,600.21,682.69,814.54,949.73,1058.3,1130.1,13,20,640,440,1200
110,110,110.01,110.04,110.15,110.51,111.57,114.34,119.3,123.19,119.71,107.28,92.357,81.337,75.249,15,5,110,353,70
122.16,122.44,123.6,126.4,132.76,146.66,171.22,203.65,249.58,311.72,393.08,486.32,584.55,676.9,755.34,3,8,122,260,900
300,300,300.01,300.02,300.09,300.37,301.54,306.29,323.14,368.81,454.84,571.81,696.08,808.19,894.31,12,15,300,284,1005
608,608,607.99,607.98,607.91,607.63,606.5,602.3,588.61,552.75,488.31,417.97,371.82,351.8,344.5,24,10,608,627,340
