351.98,351.96,351.83,351.48,350.49,347.77,340.28,321.26,285.68,231.97,177.45,139.36,121.27,114.73,112.36,10,352,110
32,32.001,32.005,32.016,32.06,32.213,32.703,34.304,38.795,48.839,66.514,92.321,125.67,165.81,209.49,20,32,310
163.95,163.87,163.64,163.23,161.76,158.84,152.63,141.41,124.69,106.47,91.091,80.95,75.697,73.342,72.262,5,164,71
64.002,64.006,64.024,64.074,64.278,64.803,66.516,71.315,82.285,103.59,135.98,177.64,225.93,276.73,325.73,13,64,440
11,11.001,11.004,11.013,11.047,11.142,11.474,12.411,14.738,19.72,28.293,41.673,61.931,93.075,139.24,15,11,353
431.38,425.75,409.63,387.71,347.25,288,219.14,164.04,105.38,68.034,50.076,43.429,42.138,42.461,42.419,1.5,440,33
121.75,121.33,120.63,118.95,115.5,108.04,97.23,81.15,63.463,47.256,36.719,31.082,28.943,28.206,27.824,3,122,26
30.001,30.004,30.016,30.048,30.161,30.481,31.458,34.204,40.287,51.751,69.298,92.592,120.88,152.76,186.45,12,30,284
68,68.002,68.006,68.023,68.082,68.301,69.133,71.846,79.752,99.24,135.76,191.07,265.48,357.28,453.73,24,68,627
7,7.0001,7.0004,7.0016,7.0061,7.0238,7.0929,7.3383,8.1285,10.24,14.701,22.499,35.177,54.378,78.014,30,7,125
1023,1022.9,1022.5,1021.5,1018,1008.1,978.48,899.08,739.59,494.87,248.04,99.489,56.534,57.435,60.717,12,1023,32
28.041,28.11,28.231,28.666,29.647,31.511,35.577,42.66,53.47,69.362,88.892,113.38,142.48,175.28,210.46,4,28,400
145.02,145.06,145.18,145.59,146.57,149.75,157.17,174.36,208.97,265.01,341.21,433.71,536.97,643.56,745.5,8,145,1023
11.001,11.002,11.009,11.027,11.08,11.247,11.765,13.008,15.893,21.274,29.967,42.275,59.434,82.842,114.46,11,11,300
2000,2000,2000.1,2000.2,2000.8,2002.9,2009.6,2031.2,2090,2212.7,2398.8,2602.9,2769.6,2879.8,2942.3,20,2000,3000
102.01,102.02,102.07,102.2,102.58,103.63,106.58,114.33,129.89,157.03,193.58,235.57,278,316.39,347.58,10,102,403
30.001,30.003,30.01,30.037,30.117,30.367,31.187,33.49,38.965,49.956,67.673,91.838,121.69,156.44,193.92,14,30,300
75.001,75.005,75.016,75.046,75.164,75.581,76.945,80.922,91.492,113.52,150.15,199.25,257.37,319.92,380.53,17,75,500
300,300.01,300.04,300.15,300.49,301.67,305.46,317.43,348.98,414.44,520.73,654.92,797.14,928.53,1035.8,18,300,1200
47,47.001,47.004,47.016,47.057,47.209,47.723,49.449,54.487,66.445,87.764,118.12,154.48,193.89,231.45,23,47,300
1023,1022.9,1022.7,1022.1,1020.1,1014.3,997.04,950.31,854.76,702.45,535.39,413.66,355.15,334.44,327.04,12,1023,320
280.07,280.2,280.41,281.19,282.91,286.12,292.9,303.99,319.18,337.78,355.08,370,381.2,388.75,393.49,4,280,400
145,144.99,144.96,144.88,144.69,144.06,142.62,139.41,133.44,125.15,116.61,109.99,105.98,103.91,102.92,8,145,102
110.01,110.02,110.09,110.27,110.8,112.47,117.65,130.08,158.93,212.74,299.67,422.75,594.34,828.42,1144.6,11,110,3000
200,200.01,200.03,200.11,200.41,201.46,204.82,215.83,246.87,317.13,444.07,639.43,915.35,1290.1,1752.9,20,200,3000
1020,1019.9,1019.6,1018.7,1016.3,1009.8,991.6,945.35,858.51,726.18,589.29,490.04,439.54,419.11,410.72,10,1020,403
20.001,20.002,20.007,20.027,20.084,20.266,20.86,22.532,26.527,34.636,47.992,66.908,91.621,122.64,159.63,14,20,300
175,175.01,175.02,175.07,175.24,175.84,177.8,183.5,198.39,228.4,274.91,329.62,382.61,426.56,458.46,17,175,500
30.001,30.002,30.008,30.026,30.085,30.292,30.959,33.092,38.886,51.74,75.849,116.08,183.17,296.42,474.29,18,30,1200
47,47.001,47.005,47.02,47.069,47.254,47.878,49.985,56.189,71.225,99.334,143.45,205.8,289.65,387.4,23,47,600
102.01,102.02,102.07,102.22,102.63,103.96,108.04,117.78,140.09,180.62,242.81,323.62,422.78,536.28,658.59,11,102,1020
280.3,280.81,281.69,284.87,292.01,305.49,334.55,384.05,456.77,557.05,669.09,792.88,918.49,1036.1,1138.4,4,280,1400
145.02,145.06,145.18,145.6,146.61,149.87,157.48,175.12,210.7,268.51,347.62,444.54,554.06,668.72,780.05,8,145,1102
110.02,110.06,110.18,110.49,111.38,113.47,118.12,127.76,143.75,166.84,193.07,219.46,243.29,262.52,276.83,6,110,300
200,200.01,200.02,200.08,200.3,201.06,203.48,211.37,233.32,281.38,362.31,470.85,593.08,715.11,822.28,20,200,1000
1020,1019.9,1019.6,1018.7,1016.3,1009.8,991.6,945.35,858.51,726.18,589.29,490.04,439.54,419.11,410.72,10,1020,403
1020,1020,1019.8,1019.3,1017.8,1013.2,998.33,957.89,868.45,714.7,534.79,399.69,334.8,312.13,304.57,14,1020,300
175,175,175.01,175.03,175.09,175.37,176.43,180.18,192.04,222.38,280.32,361.89,453.73,541.57,611.85,30,175,700
301,301.01,301.04,301.15,301.49,302.67,306.47,318.46,350.04,415.57,521.96,656.19,798.35,929.55,1036.5,18,301,1200
