246.59,286.59,386.64,616.38,942.8,1331.9,1572.6,1371.1,842.52,664.21,958.27,1265.3,1417.4,1474.8,1494.4,1.2,10.6,118,235.32,3518.3,205.5,1504
64.004,64.017,64.073,64.301,65.098,67.714,75.241,88.723,101.04,97.493,75.728,56.391,65.266,112.72,192.31,10,5,21,64,627.9,7.6,387.7
352,352.01,352.03,352.13,352.54,354.18,360.5,379.66,424.43,498.71,610.78,790.77,1041.2,1328.4,1609.6,20,10,12,352,1100,210,2008
320.15,320.61,321.99,326.32,342.5,379.23,451.16,540.88,590.85,530.23,342.06,120.97,13.451,29.355,18.294,5,12,5,320,1310,12,125
164,163.99,163.96,163.8,163.24,160.95,154.17,140.28,128.95,145.99,205.78,305,444.8,625.14,814.91,13,20,14,164,71,500,1100
64.001,64.004,64.018,64.077,64.318,65.277,68.633,79.041,103.69,149.95,222.09,325.59,466.97,647.37,845.9,15,5,20,64,120,440,1200
11.041,11.163,11.514,12.516,15.32,21.013,30.859,44.531,62.095,82.865,105.04,127.01,147.95,167.02,182.03,3,10,8,11,353,70,200
122,121.98,121.93,121.68,120.79,117.17,106.75,85.692,64.003,62.596,83.35,113.86,145.48,171.02,186.8,12,20,15,122,26,900,200
30.021,30.083,30.346,31.341,34.705,43.191,60.391,86.652,120.83,160.03,194.1,205.62,186.31,153.46,130.79,5,24,10,30,284,1005,120
68.002,68.01,68.042,68.176,68.72,70.783,77.561,94.236,122.69,150.94,155.78,122.86,71.166,35.856,22.633,13,8,20,68,627,340,17
2328.2,2406.4,2583.9,2893.1,3097.8,2942.2,2130.6,981.13,410.19,515.69,888.19,1225,1400.3,1468.7,1492.3,1.2,10.6,118,2305.3,3518.3,205.5,1504
3502,3501.9,3501.6,3500.3,3494.8,3472.8,3386.8,3121.2,2497.8,1613.9,985.51,855.93,1013.9,1322.6,1635.4,20,10,12,3502,1100,210,2008
164,164.02,164.08,164.4,165.54,170.33,185.68,224.86,296.48,394.02,511.53,647.72,790.44,916.64,1007.4,13,20,14,164,701,500,1100
603.99,603.97,603.86,603.43,601.67,594.98,573.93,523.22,456.75,441.89,524.09,667.97,826.54,969.03,1076.3,15,5,20,604,120,440,1200
11.041,11.164,11.518,12.528,15.363,21.162,31.386,46.188,66.681,93.614,125.48,157.78,183.78,198.88,203.77,3,10,8,11,353,700,200
122,122.01,122.05,122.22,122.85,125.47,133.6,153.57,188.98,234.33,273.26,285.22,269.07,243.14,222.02,12,20,15,122,260,900,200
299.99,299.98,299.9,299.63,298.75,296.8,294.06,293.39,297.97,301.21,276.6,212.19,149.73,123.52,119.88,5,24,10,300,284,1005,120
68.003,68.012,68.049,68.205,68.843,71.29,79.586,101.6,146.62,216.65,300.85,370.49,377.21,299.84,185.98,13,8,20,68,627,3400,17
2305.3,2305.4,2306,2308.4,2318.8,2341,2275.1,1791.6,934.06,474.83,521.39,698.59,965.42,1238.5,1400.9,10.2,10.6,118,2305.3,3518.3,205.5,1504
604,603.99,603.96,603.8,603.21,600.7,590.83,557.12,474.21,356.93,310.7,377.11,440.53,440.12,416.91,20,5,21,604,627.9,70.6,387.7
